status	cs_loc	cs_sha256_16	cs_path	rs_path	crate
todo	81	4ca9de2d8fab3add	Families/GameX.Uncore/Formats/Collada/ColladaFileWriter+SetLibraryEffects.cs	families/uncore/src/formats/collada/collada_file_writer_set_library_effects.rs	gamex-uncore
todo	0	0c23bcbeef5e56e7	Families/GameX.Uncore/Formats/Collada/ColladaFileWriter+SetLibraryGeometries.cs	families/uncore/src/formats/collada/collada_file_writer_set_library_geometries.rs	gamex-uncore
todo	26	6a88d6237778f6ae	Families/GameX.Uncore/Formats/Collada/ColladaFileWriter+SetLibraryImages.cs	families/uncore/src/formats/collada/collada_file_writer_set_library_images.rs	gamex-uncore
todo	19	9f89b5ac978925c1	Families/GameX.Uncore/Formats/Collada/ColladaFileWriter+SetLibraryMaterials.cs	families/uncore/src/formats/collada/collada_file_writer_set_library_materials.rs	gamex-uncore
todo	12	bc310dc2b3214386	Families/GameX.Uncore/Formats/Collada/ColladaFileWriter+SetLibraryVisualScenes.cs	families/uncore/src/formats/collada/collada_file_writer_set_library_visual_scenes.rs	gamex-uncore
todo	33	b304e31cf5cde584	Families/GameX.Uncore/Formats/Collada/ColladaFileWriter+SetLibraryVisualScenesWithSkeleton.cs	families/uncore/src/formats/collada/collada_file_writer_set_library_visual_scenes_with_skeleton.rs	gamex-uncore
todo	8	673cbc97658e3a57	Families/GameX.Uncore/Formats/Collada/ColladaFileWriter+SetScene.cs	families/uncore/src/formats/collada/collada_file_writer_set_scene.rs	gamex-uncore
todo	34	d942457b44a7e620	Families/GameX.Uncore/Formats/Collada/ColladaFileWriter+ValidateXml.cs	families/uncore/src/formats/collada/collada_file_writer_validate_xml.rs	gamex-uncore
todo	67	62b6fb7315f10bce	Families/GameX.Uncore/Formats/Collada/ColladaFileWriter.cs	families/uncore/src/formats/collada/collada_file_writer.rs	gamex-uncore
todo	170	7a4f65ff5733ab7c	Families/GameX.Uncore/Formats/Compression.cs	families/uncore/src/formats/compression.rs	gamex-uncore
done	54	2e76745f8348ea6b	Families/GameX.Uncore/Formats/Network.cs	families/uncore/src/formats/network.rs	gamex-uncore
todo	28	8b1f3f617d55501e	Families/GameX.Uncore/Formats/Wavefront/WavefrontFileWriter+Hitbox.cs	families/uncore/src/formats/wavefront/wavefront_file_writer_hitbox.rs	gamex-uncore
todo	47	2254505d0c694293	Families/GameX.Uncore/Formats/Wavefront/WavefrontFileWriter+MaterialFile.cs	families/uncore/src/formats/wavefront/wavefront_file_writer_material_file.rs	gamex-uncore
todo	51	1bc0a9c5298c5f2b	Families/GameX.Uncore/Formats/Wavefront/WavefrontFileWriter+Mesh.cs	families/uncore/src/formats/wavefront/wavefront_file_writer_mesh.rs	gamex-uncore
todo	0	0c8cb90f4501b00b	Families/GameX.Uncore/Formats/Wavefront/WavefrontFileWriter+Node.cs	families/uncore/src/formats/wavefront/wavefront_file_writer_node.rs	gamex-uncore
todo	38	3763d677def04990	Families/GameX.Uncore/Formats/Wavefront/WavefrontFileWriter.cs	families/uncore/src/formats/wavefront/wavefront_file_writer.rs	gamex-uncore
todo	37	a88aeaa6fda9d01d	Families/GameX.Uncore/Uncore.cs	families/uncore/src/uncore.rs	gamex-uncore
todo	0	fac9c92a6e7d0d3a	Families/GameX.Uncore/_/BZip2InputStream.cs	families/uncore/src/m/b_zip2_input_stream.rs	gamex-uncore
todo	0	2e975946d76143b1	Families/GameX.Uncore/_/Extra.cs	families/uncore/src/m/extra.rs	gamex-uncore
done	772	076ad7e94d38e013	Families/GameX.Uncore/_LIB/System.IO.Compression.cs	families/uncore/src/vendor/system_io_compression.rs	gamex-uncore
done	24	f1fcd7910af79892	Families/GameX.Uncore/_LIB/System.Security.Cryptography.cs	families/uncore/src/vendor/system_security_cryptography.rs	gamex-uncore
todo	42	d43ab6d27f0390c3	Families/GameX.Uncore.Program/Program.cs	families/uncore-program/src/program.rs	gamex-uncore-program
todo	23	2bf84501d082f766	Families/GameX.Unity/Unity.cs	families/unity/src/unity.rs	gamex-unity
todo	132	f451a43173b216a2	Families/GameX.Valve/Algorithms/MeshOptimizerIndexDecoder.cs	families/valve/src/algorithms/mesh_optimizer_index_decoder.rs	gamex-valve
todo	141	074be0d5e8d92102	Families/GameX.Valve/Algorithms/MeshOptimizerVertexDecoder.cs	families/valve/src/algorithms/mesh_optimizer_vertex_decoder.rs	gamex-valve
todo	467	922f0a96ff7d96a0	Families/GameX.Valve/Formats/Vpk/Animations.cs	families/valve/src/formats/vpk/animations.rs	gamex-valve
